pvalue,gene_name
0.647920999,FLJ10613
0.208286094,AHCYL1
0.114562923,RPC155
0.678144997,GPR64
0.001757161,LOC51195
0.291394027,
0.329269612,
0.960871564,MKPX
0.531498081,
0.642743851,DKFZP586K152
0.472193658,
0.025282923,
0.274855869,
0.462362538,COPS3
0.740829975,
0.454319072,
0.253486792,FLJ12886
0.902558716,KIAA0710
0.079954293,
0.718256314,DKFZP761L042
0.474915434,LIMK1
0.127321069,
0.730905388,
0.604572484,SLMAP
0.404999395,LOC54505
0.401343335,TBP
0.671283121,FLJ20345
0.42455389,DKFZP434F195
0.006086062,DKFZP434A102
0.129594129,PTX3
0.425576305,
0.042191903,DGKZ
0.201227388,
0.197036543,
0.361704073,FLJ14957
0.906099912,
0.708664121,CLU
0.830449863,LOC51693
0.146697498,SMARCA1
0.126360628,HSHIN1
0.065445983,
0.028350592,CTBS
0.022846115,ARPP-21
0.099436008,
0.082032417,
0.803989942,
0.280005503,ZNF295
0.090301662,KIAA0447
0.450495108,KIAA0063
0.199306782,RARG-1
0.040570363,CRABP2
0.289446138,
0.360967424,NPEPL1
0.669327951,TRC8
0.179453945,ELF5
0.928755686,ANLN
0.009415538,
0.261116626,MDA5
0.263229601,
0.788940558,
0.390162004,GPX3
0.045774458,FLJ13852
0.491426747,
0.62494074,MPDU1
0.215288571,ATRN
0.241279209,
0.477983503,FLJ20294
0.570894425,RFP
0.495271582,DHDH
0.089789724,SOD3
0.289365403,P3
0.515357586,
0.070590146,OXTR
0.093095067,CPA4
0.048507576,MYOD1
0.284818021,RGS8
0.069131782,KRT17
0.011455214,
0.073476311,MRVI1
0.727478949,
0.115586432,EIF3S8
0.652917095,RAD51
0.040010641,CD1C
0.82938574,
0.158918324,LENG3
0.98252087,
0.012740225,FLJ20666
0.141530305,SPAG9
0.566468476,
0.003242146,HIG2
0.232404449,GNA14
0.217301075,MADHIP
0.277331149,VNN2
0.828172085,PVR
0.205513101,UNRIP
0.793066026,MRPL35
0.905097805,FLJ11703
0.092528079,C2
0.127543003,CPM
0.274262324,NXT1
0.555907005,GTPBP5
0.149979029,PRSS3
0.820807452,TTLL1
0.121084632,
0.352287308,RTKN
0.183644348,FLJ10706
0.129571789,
0.250471304,
0.761300282,RAB2
0.021622278,
0.316520877,GNA15
0.236962225,KIAA0992
0.196474718,C20orf40
0.22578791,TSC2
0.884295093,KIAA0484
0.940600727,
0.000280163,C14orf3
0.824106925,SFTPB
0.133138998,ZNF80
0.564216398,COPS7B
0.259902781,
0.013137259,CAPN3
0.918959904,TRIAD3
0.000993354,HPRP4P
0.014484795,REA
0.531674728,ST14
0.74840445,
0.140730508,KLF1
0.115501658,PAWR
0.519061834,LOC81537
0.988796438,PRKAR2A
0.478029666,IFI30
0.10373957,CSEN
0.441601224,PEA15
0.790516674,ODZ1
0.402595882,KIAA0191
0.140029058,KIAA1189
0.94848214,GP1BA
0.914021179,VDR
0.791481599,SLC28A2
0.415064497,PSMB9
0.036488709,LOC51287
0.27824285,
0.980034969,ARS2
0.764600962,ARC
0.881227703,
0.855176026,DKFZP564G202
0.848313153,
0.755474687,
0.122285648,FLJ20037
0.023776341,
0.051453823,ZNF256
0.049019048,EPHA4
0.939157728,IRF5
0.242999791,IL9R
0.105552888,
0.73297539,PSPN
0.728224549,MRPS16
0.354574298,SNX8
0.412420011,
0.12359086,EGR1
0.404461434,AP4M1
0.550302526,HSU79266
0.066810408,MXI1
0.169911493,
0.640318588,KIAA1271
0.113771814,RASAL1
0.267800694,MNT
0.469386452,
0.473123595,CUL1
0.178226748,
0.657737531,
0.222977726,
0.126538296,TEAD4
0.593342801,
0.665758859,
0.727669956,FLJ23229
0.080674887,
0.006442728,KIAA0790
0.493311544,
0.350977839,ICAM3
0.756655823,KIAA0107
0.186695043,HRASLS3
0.007591426,
0.055058246,FLJ20397
0.142338342,
0.816811422,FOXD3
0.19189662,CEBPE
0.107490745,3-PAP
0.87090374,CFLAR
0.271327715,PLUNC
0.027758468,SERPINE1
0.748590234,APOB
0.74000684,NID2
0.935775232,AQP2
0.094165249,
0.057204873,FLJ12973
0.676822353,PC326
0.118332678,
0.870773998,FLJ14154
0.376842006,TNRC21
0.050332693,GRAP
0.354629612,APOC3
0.665464358,STK29
0.664051173,NCF2
0.747854582,DKFZP564D076
0.696289727,DKFZP564G022
0.082611979,
0.375836141,FLJ20132
0.156126254,HS3ST3A1
