"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.PVL","log2fold_change","Auc"
"288","CXCL12","hurdle",1.36586176904211e-22,-1.5490812,-0.4688305,1.0802507,0.605
"169","CAP1","hurdle",2.68080805077502e-16,-0.6663465,-0.1079779,0.5583686,0.605
"1088","SYDE1","hurdle",2.34974414558906e-30,-3.029319,-1.536259,1.49306,0.604
"962","RRAS","hurdle",5.54347365906647e-34,-2.374162,-1.045438,1.328724,0.604
"432","FXYD6","hurdle",2.47615162067873e-26,-2.745339,-1.228339,1.517,0.604
"924","RCSD1","hurdle",8.70761750096694e-20,-2.480239,-1.246889,1.23335,0.603
"189","CCDC80","hurdle",2.98588817273555e-35,-1.6448098,-0.9378964,0.7069134,0.603
"1099","TBC1D1","hurdle",2.88895248508787e-20,-2.427065,-1.265282,1.161783,0.602
"103","ATP2B4","hurdle",1.66289579100198e-18,-1.8881121,-0.9302074,0.9579047,0.602
"1172","TUBB6","hurdle",6.53522829910556e-17,-2.084417,-1.07404,1.010377,0.601
"955","RP11-834C11.4","hurdle",7.2196000704215e-30,-2.838747,-1.396686,1.442061,0.601
"898","RAB34","hurdle",6.76329767885178e-18,-1.797031,-0.86648,0.930551,0.601
"757","NRGN","hurdle",8.75720185039858e-38,-3.147227,-1.529481,1.617746,0.601
"441","GBP2","hurdle",3.0792487716389e-17,-1.4016136,-0.4548575,0.9467561,0.601
"35","ADRA2A","hurdle",1.89336949817493e-36,-3.000366,-1.430829,1.569537,0.601
"27","ADGRA2","hurdle",9.19076817302367e-26,-2.712749,-1.323938,1.388811,0.601
"1191","VDAC2","hurdle",7.75617717771764e-13,-0.6440192,-0.1167561,0.5272631,0.6
"1150","TNS2","hurdle",7.1143250455704e-22,-2.279618,-1.095729,1.183889,0.6
"1084","SUSD2","hurdle",2.27147299562618e-28,-2.568853,-1.168839,1.400014,0.6
"897","RAB31","hurdle",5.16441205290849e-16,-1.7823141,-0.9286634,0.8536507,0.599
"589","LAMB2","hurdle",8.30847174726958e-21,-1.812801,-0.7723793,1.0404217,0.599
"576","KIAA0040","hurdle",8.51447706638251e-17,-1.7013641,-0.7876559,0.9137082,0.599
"461","GPNMB","hurdle",5.92904479213926e-18,-2.146246,-1.066407,1.079839,0.599
"382","FAM13C","hurdle",1.97586969110816e-24,-2.752646,-1.347497,1.405149,0.599
"130","C10orf54","hurdle",5.94756845044459e-14,-1.6750215,-0.9361109,0.7389106,0.599
"673","MOB2","hurdle",1.55126459831522e-21,-1.8283081,-0.8500447,0.9782634,0.598
"562","JAK1","hurdle",9.74826783912091e-13,-0.696635,-0.1495161,0.5471189,0.598
"502","HOXB-AS1","hurdle",1.13842054377457e-22,-2.77244,-1.410688,1.361752,0.598
"255","COL5A3","hurdle",1.62201258185822e-30,-3.087989,-1.50703,1.580959,0.598
"146","C20orf27","hurdle",7.54952299414633e-35,-1.9282522,-0.7517439,1.1765083,0.598
"60","ANTXR1","hurdle",5.30449134984603e-18,-2.497053,-1.368894,1.128159,0.598
"734","NGF","hurdle",3.87014306083859e-43,-3.287182,-1.628236,1.658946,0.597
"682","MRPL32","hurdle",1.3086970902812e-19,-1.4090615,-0.6161162,0.7929453,0.597
"507","HRC","hurdle",1.70328372566017e-46,-3.265767,-1.612707,1.65306,0.597
"165","CAMK1","hurdle",7.14230730025831e-24,-2.555102,-1.318131,1.236971,0.597
"945","ROCK2","hurdle",2.66714557960602e-20,-2.140853,-1.064363,1.07649,0.596
"508","HRH2","hurdle",4.08751338195729e-43,-3.213908,-1.55977,1.654138,0.596
"989","SEPP1","hurdle",1.02460789939964e-12,-0.6767479,-0.1566185,0.5201294,0.595
"889","PTPRG","hurdle",6.40098534992356e-16,-2.550972,-1.418125,1.132847,0.595
"417","FKBP8","hurdle",2.00087210306373e-13,-0.9466912,-0.3625188,0.5841724,0.595
"115","BBX","hurdle",2.18292241528748e-15,-1.1099339,-0.4974082,0.6125257,0.595
"806","PDLIM2","hurdle",1.28549579017283e-23,-1.8886571,-0.9243355,0.9643216,0.594
"625","LTBP1","hurdle",4.29620461797156e-30,-2.756337,-1.282054,1.474283,0.594
"542","IMPDH2","hurdle",1.50396501901982e-09,-0.8108892,-0.2790942,0.531795,0.594
"1181","UBE2E2","hurdle",2.75473027245206e-18,-2.385038,-1.298046,1.086992,0.593
"301","DCN","hurdle",8.54785237118216e-33,-1.0977259,-0.5878908,0.5098351,0.593
"151","C6orf48","hurdle",5.06097843898059e-15,-1.0826191,-0.4277556,0.6548635,0.593
"1090","SYNE2","hurdle",6.00013127478597e-14,-1.0563099,-0.4366191,0.6196908,0.592
"1020","SLC38A11","hurdle",2.33938071114577e-43,-3.296473,-1.710262,1.586211,0.592
"936","RHOC","hurdle",2.865536851344e-15,-0.9026093,-0.2625022,0.6401071,0.592
"915","RBFOX2","hurdle",2.4462075319617e-19,-2.28632,-1.231864,1.054456,0.592
"879","PSMC3","hurdle",5.97625398595976e-15,-1.3563189,-0.6503116,0.7060073,0.592
"164","CALHM2","hurdle",1.19289452951159e-22,-2.396042,-1.211459,1.184583,0.592
"139","C1orf54","hurdle",1.2535791510452e-15,-2.297048,-1.24966,1.047388,0.592
"738","NID1","hurdle",1.1712030487957e-20,-2.479324,-1.178416,1.300908,0.591
"736","NGFRAP1","hurdle",1.03572202275999e-11,-1.0460618,-0.4450783,0.6009835,0.591
"669","MIR497HG","hurdle",1.15220378288743e-21,-3.013118,-1.720437,1.292681,0.591
"470","GRK5","hurdle",2.61948460756703e-25,-2.904236,-1.55999,1.344246,0.591
"99","ASPN","hurdle",1.20183511529228e-22,-2.399139,-1.080089,1.31905,0.591
"810","PEAK1","hurdle",1.39792729265543e-18,-2.604841,-1.378391,1.22645,0.59
"707","MYLIP","hurdle",4.52771030027155e-15,-1.1996483,-0.5072474,0.6924009,0.59
"303","DCTN3","hurdle",5.06072962121245e-14,-1.0604629,-0.4618867,0.5985762,0.59
"166","CAMK2G","hurdle",3.00835393496206e-23,-2.280908,-1.180059,1.100849,0.59
"1057","SORT1","hurdle",8.46189185678169e-32,-2.595956,-1.300989,1.294967,0.589
