"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.PVL","log2fold_change","Auc"
"706","MYL9","hurdle",0,-0.9943965,1.8818448,2.8762413,0.975
"163","CALD1","hurdle",7.32925128821399e-279,-0.7733975,1.7696454,2.5430429,0.966
"12","ACTA2","hurdle",8.09645059657898e-297,-1.369511,1.888665,3.258176,0.959
"1097","TAGLN","hurdle",4.1276948227571e-284,-1.055209,2.038286,3.093495,0.958
"1152","TPM2","hurdle",1.7915419756566e-293,-1.637117,1.616203,3.25332,0.955
"535","IGFBP7","hurdle",4.0755350509189e-206,0.07912983,2.19180887,2.11267904,0.941
"1053","SOD3","hurdle",9.92417936336956e-240,-2.075957,1.140909,3.216866,0.898
"1151","TPM1","hurdle",1.85422682338563e-185,-0.4250987,1.3486634,1.7737621,0.894
"660","MFGE8","hurdle",1.03708109263654e-233,-1.9218072,0.9787639,2.9005711,0.894
"176","CAV1","hurdle",1.44290955328965e-176,-0.9744414,1.2690844,2.2435258,0.893
"122","BGN","hurdle",7.56224154091556e-200,-1.562365,1.087095,2.64946,0.89
"835","PLAC9","hurdle",1.36420076873521e-203,-2.0195882,0.8651283,2.8847165,0.885
"34","ADIRF","hurdle",3.91106945597094e-148,-0.08678562,1.55765431,1.64443993,0.885
"1061","SPARCL1","hurdle",5.07399568532641e-159,-0.1847072,1.725427,1.9101342,0.884
"746","NOTCH3","hurdle",3.73091146406509e-229,-2.4234527,0.6598008,3.0832535,0.87
"603","LHFP","hurdle",8.32857992435162e-180,-1.7165128,0.8408316,2.5573444,0.87
"598","LGALS1","hurdle",4.12150226995092e-128,0.1419043,1.4979142,1.3560099,0.867
"1193","VIM","hurdle",1.03395533015877e-115,0.8781552,2.0595484,1.1813932,0.862
"1125","TINAGL1","hurdle",1.25501029299311e-184,-1.8737209,0.7411878,2.6149087,0.855
"722","NDUFA4L2","hurdle",5.46220164724687e-244,-2.7986382,0.9685167,3.7671549,0.855
"261","CPE","hurdle",1.73378298814338e-182,-2.0506832,0.7436772,2.7943604,0.855
"864","PPP1R14A","hurdle",3.95459419800138e-193,-2.4693142,0.6799135,3.1492277,0.854
"999","SERPING1","hurdle",3.44227064824137e-130,-0.9611081,0.9470642,1.9081723,0.845
"639","MAP1B","hurdle",6.06184959830529e-165,-2.027624,0.6109952,2.6386192,0.842
"890","PTRF","hurdle",2.00502783898415e-122,-0.9153812,0.9412001,1.8565813,0.841
"1060","SPARC","hurdle",4.46273060394065e-129,-0.442198,1.315263,1.757461,0.84
"994","SEPT7","hurdle",1.69154797668624e-122,-0.2733653,1.0452166,1.3185819,0.84
"531","IFITM3","hurdle",4.8350883978346e-103,0.6751281,1.7336276,1.0584995,0.836
"653","MCAM","hurdle",1.90307695171186e-185,-2.4417931,0.5443256,2.9861187,0.833
"801","PDGFRB","hurdle",1.64946263634262e-173,-2.4755556,0.3783406,2.8538962,0.832
"278","CSRP2","hurdle",5.91845908160502e-155,-2.044622,0.5731462,2.6177682,0.832
"693","MT2A","hurdle",3.14300822462331e-104,0.3519799,1.6816655,1.3296856,0.83
"969","S100A4","hurdle",1.96999168736581e-105,-0.03891627,1.4705816,1.50949787,0.829
"428","FRZB","hurdle",1.93159893775935e-181,-2.6018568,0.4265389,3.0283957,0.829
"705","MYL6","hurdle",1.54153831702639e-81,1.168286,1.713028,0.544742,0.827
"708","MYLK","hurdle",1.07139466775851e-146,-2.024235,0.545145,2.56938,0.822
"247","COL18A1","hurdle",9.26101654059865e-159,-1.9125988,0.6750956,2.5876944,0.822
"321","DSTN","hurdle",4.96106061814223e-107,0.3691455,1.4326387,1.0634932,0.815
"1123","TIMP3","hurdle",9.39253478247568e-100,-0.6843281,1.0671827,1.7515108,0.812
"934","RGS5","hurdle",9.14882319502242e-182,-2.424077,1.0817,3.505777,0.812
"663","MGST3","hurdle",1.20651397831953e-107,-0.03280832,1.06754327,1.10035159,0.811
"689","MT1E","hurdle",6.25370349495643e-117,-1.252807,0.9259456,2.1787526,0.808
"277","CSRP1","hurdle",4.63336666713573e-109,-0.9065398,0.822511,1.7290508,0.806
"868","PRKCDBP","hurdle",4.88378118385266e-123,-1.7051197,0.5083802,2.2134999,0.803
"446","GJA4","hurdle",3.15260099334221e-157,-2.516504,0.3510505,2.8675545,0.802
"1","A2M","hurdle",2.66874857791302e-111,-0.8989706,0.8045621,1.7035327,0.798
"471","GSN","hurdle",6.29475653626087e-96,-0.2540063,1.0847676,1.3387739,0.794
"521","ID3","hurdle",5.07822504874022e-87,-0.526475,1.008984,1.535459,0.792
"413","FILIP1L","hurdle",1.23398079701961e-130,-1.9833471,0.3900163,2.3733634,0.792
"691","MT1M","hurdle",3.91859151354099e-128,-2.1390367,0.7313915,2.8704282,0.789
"367","EPS8","hurdle",2.10291126155349e-139,-2.0973017,0.2390769,2.3363786,0.788
"1114","TGFB1I1","hurdle",3.88762558320101e-126,-2.0365408,0.2400329,2.2765737,0.787
"550","ISYNA1","hurdle",2.70839238552227e-132,-1.9972456,0.3118319,2.3090775,0.786
"257","COL6A2","hurdle",2.11658636963268e-130,-1.56521,0.5118861,2.0770961,0.785
"6","AC013461.1","hurdle",3.57956056632098e-124,-1.959073,0.2050492,2.1641222,0.779
"271","CRYAB","hurdle",1.06747382123429e-109,-2.0214164,0.3317206,2.353137,0.778
"992","SEPT4","hurdle",8.84154066235189e-157,-2.7243819,0.1151169,2.8394988,0.776
"418","FLNA","hurdle",1.72616015432826e-91,-1.0428776,0.6697476,1.7126252,0.776
"616","LMOD1","hurdle",2.5415805833541e-150,-2.9140083,0.1049712,3.0189795,0.774
"593","LBH","hurdle",2.62251524378791e-90,-1.6163019,0.3358025,1.9521044,0.771
"466","GPX3","hurdle",3.34291327029769e-113,-2.3045364,0.1646009,2.4691373,0.768
"533","IGFBP5","hurdle",1.42627900111456e-91,-1.1028698,0.9325187,2.0353885,0.767
"140","C1QTNF1","hurdle",8.5509370111218e-134,-2.6540769,0.02252734,2.67660424,0.766
"763","NTRK2","hurdle",3.75467513738227e-123,-2.63552366,0.05186995,2.68739361,0.765
"268","CRISPLD2","hurdle",4.92729682678098e-112,-2.2961863,0.1893489,2.4855352,0.765
"888","PTP4A3","hurdle",2.45571347660986e-118,-2.1536376,0.1932236,2.3468612,0.764
"131","C11orf96","hurdle",6.24113903378501e-129,-2.4705367,0.3034949,2.7740316,0.763
"702","MYH11","hurdle",6.99332676156391e-141,-2.70863,0.482913,3.191543,0.761
"554","ITGB1","hurdle",4.97635478451241e-71,-0.4310473,0.7354983,1.1665456,0.761
"844","PLN","hurdle",2.23179845773562e-167,-3.19513726,0.08606182,3.28119908,0.759
"358","EPAS1","hurdle",4.24149855235137e-81,-1.3070428,0.3674832,1.674526,0.759
"751","NR2F2","hurdle",4.66957952384492e-104,-1.571642,0.2918168,1.8634588,0.758
"16","ADAMTS1","hurdle",3.48684839239638e-82,-1.6434328,0.3512491,1.9946819,0.754
"817","PGF","hurdle",8.62211466518847e-143,-2.81809229,0.01528751,2.8333798,0.753
"885","PTK2","hurdle",3.58910299706157e-111,-1.749276,0.151436,1.900712,0.752
"259","COX4I2","hurdle",5.10933018025717e-150,-3.11221326,-0.07694284,3.03527042,0.752
"407","FHL1","hurdle",4.13293123891607e-98,-2.40799817,0.02460444,2.43260261,0.75
"1116","TGFBI","hurdle",2.84378521269975e-113,-2.60670852,-0.04820235,2.55850617,0.749
"861","PPP1R12A","hurdle",2.66499378093723e-82,-1.2039708,0.3222604,1.5262312,0.749
"478","GUCY1B3","hurdle",2.48622958047566e-137,-3.0118603,-0.2865515,2.7253088,0.748
"998","SERPINF1","hurdle",8.09815091094006e-96,-1.5980872,0.2685575,1.8666447,0.747
"619","LPP","hurdle",4.068320970442e-81,-1.0300626,0.3902097,1.4202723,0.747
"561","JAG1","hurdle",8.8890636368297e-96,-2.14381539,0.00394145,2.14775684,0.746
"886","PTMS","hurdle",2.3026582652299e-58,-0.2940912,0.6804646,0.9745558,0.743
"601","LGI4","hurdle",6.02775668968467e-141,-3.1954202,-0.3792761,2.8161441,0.743
"530","IFITM2","hurdle",5.17222340161618e-52,0.4480059,1.2389554,0.7909495,0.741
"1163","TSC22D1","hurdle",7.53232162889139e-58,-0.1149568,0.9083183,1.0232751,0.739
"238","CNN3","hurdle",4.83645352459395e-60,-0.7803122,0.4818647,1.2621769,0.739
"132","C12orf57","hurdle",3.51368947893694e-50,0.1691034,0.9376706,0.7685672,0.738
"203","CD63","hurdle",1.12611856122196e-43,0.5759122,1.2183142,0.642402,0.736
"431","FXYD1","hurdle",1.53846311742015e-93,-2.4703501,-0.1489649,2.3213852,0.735
"177","CAV2","hurdle",2.9593278841337e-82,-1.96470012,-0.01914054,1.94555958,0.735
"768","OAZ2","hurdle",1.71486241004951e-93,-1.76585888,0.04711641,1.81297529,0.734
"1179","UBA2","hurdle",1.12193660968151e-91,-1.69403479,0.01867389,1.71270868,0.732
"922","RCAN2","hurdle",4.12833224036343e-124,-3.040783,-0.40417,2.636613,0.732
"312","DKK3","hurdle",1.54280440388836e-96,-2.4358582,-0.1949977,2.2408605,0.731
"979","SDC2","hurdle",6.11530293874102e-89,-2.27110854,-0.08894477,2.18216377,0.73
"477","GUCY1A3","hurdle",5.68548594090155e-98,-2.5412703,-0.2597007,2.2815696,0.729
"345","EID1","hurdle",1.31670615022925e-50,-0.2500356,0.6498116,0.8998472,0.729
"253","COL4A2","hurdle",1.17107139682655e-74,-1.730021,0.1830116,1.9130326,0.728
"489","HES4","hurdle",5.58847109582554e-85,-1.84284187,-0.03285947,1.8099824,0.727
"846","PLS3","hurdle",1.01576919606371e-78,-2.2478985,-0.2523364,1.9955621,0.726
"540","ILK","hurdle",7.67799626949475e-75,-1.3859808,0.1238336,1.5098144,0.726
"343","EHD2","hurdle",1.0044291203403e-79,-2.0730833,-0.1271568,1.9459265,0.726
"928","RERGL","hurdle",5.83240423167444e-142,-3.1078829,0.1965667,3.3044496,0.725
"333","EDNRA","hurdle",9.5583146795463e-104,-2.9300879,-0.3360947,2.5939932,0.725
"1149","TNS1","hurdle",2.19277633897898e-86,-2.4298395,-0.2546984,2.1751411,0.721
"791","PCOLCE","hurdle",1.11838456836607e-84,-1.97197683,0.06205392,2.03403075,0.721
"983","SELM","hurdle",3.62465545290438e-42,0.09862424,0.90615117,0.80752693,0.72
"368","ESAM","hurdle",1.99259959356087e-68,-1.55555517,-0.01020019,1.54535498,0.72
"1206","YBX1","hurdle",7.30575340603243e-46,0.07983478,0.86819773,0.78836295,0.719
"1093","SYNPO2","hurdle",4.72700830088658e-93,-2.620651,-0.236789,2.383862,0.719
"655","MEF2C","hurdle",5.80651375162692e-69,-1.800403063,0.002974303,1.803377366,0.719
"199","CD151","hurdle",1.69607618551237e-48,-0.2708242,0.6660516,0.9368758,0.718
"1031","SLIT3","hurdle",4.65127672679805e-90,-2.6511321,-0.2940335,2.3570986,0.717
"290","CYB5R3","hurdle",1.15293317727085e-55,-0.9200821,0.3437067,1.2637888,0.717
"193","CCL2","hurdle",4.32170477174328e-75,-1.7158076,0.5930341,2.3088417,0.717
"920","RBPMS","hurdle",2.89057311144567e-64,-1.5573176,-0.03293303,1.52438457,0.715
"643","MAP3K7CL","hurdle",6.02550774015302e-126,-3.0911328,-0.3326124,2.7585204,0.715
"148","C2orf40","hurdle",7.06497111707278e-87,-2.52753332,-0.01877401,2.50875931,0.714
"933","RGS16","hurdle",2.21258846157878e-65,-1.3845086,0.3364939,1.7210025,0.712
"595","LDHB","hurdle",2.61841278960818e-50,-0.5834649,0.4518848,1.0353497,0.712
"248","COL1A1","hurdle",1.78589862557832e-76,-1.1718438,0.2389011,1.4107449,0.712
"876","PRRX1","hurdle",2.95047473671267e-78,-2.3765008,-0.3073379,2.0691629,0.711
"909","RASL11A","hurdle",1.99091966453077e-75,-2.4451863,-0.2941891,2.1509972,0.71
"687","MSRB3","hurdle",2.60906386810721e-72,-2.2987698,-0.2969275,2.0018423,0.71
"910","RASL12","hurdle",4.52613350268632e-110,-3.0952397,-0.5608248,2.5344149,0.709
"249","COL1A2","hurdle",6.06978634378013e-85,-1.2187613,0.2916646,1.5104259,0.709
"1038","SMOC2","hurdle",9.16371101460785e-78,-2.210611,-0.1751126,2.0354984,0.707
"662","MGLL","hurdle",1.89822695728122e-49,-1.304001,0.123453,1.427454,0.706
"855","PNRC1","hurdle",1.29747258108036e-38,0.03580008,0.79501814,0.75921806,0.705
"822","PHLDA1","hurdle",6.64399097696948e-56,-1.0658624,0.3998148,1.4656772,0.705
"94","ARPC5","hurdle",5.74150803125445e-50,-0.5666404,0.4391003,1.0057407,0.704
"373","FABP4","hurdle",9.43303855774508e-67,-1.1511365,0.3445664,1.4957029,0.703
"688","MT1A","hurdle",2.75533888207606e-99,-2.81963667,-0.05222308,2.76741359,0.701
"328","EBF1","hurdle",5.16617283209488e-70,-2.3935118,-0.3724188,2.021093,0.701
"15","ACTN4","hurdle",5.42402605685766e-61,-0.9050794,0.2955677,1.2006471,0.701
"905","RARRES2","hurdle",1.55530978282299e-66,-1.7685757,-0.0823862,1.6861895,0.7
"341","EGR1","hurdle",4.88352936847442e-37,0.1487556,1.0503209,0.9015653,0.7
"246","COL14A1","hurdle",5.33085274182777e-84,-2.2141002,-0.2653577,1.9487425,0.7
"252","COL4A1","hurdle",1.0512365066887e-61,-1.88380281,0.03047037,1.91427318,0.699
"565","JUN","hurdle",6.89015265104361e-28,1.170305,1.692005,0.5217,0.697
"495","HIGD1B","hurdle",2.0356947648507e-105,-3.0735807,-0.2712852,2.8022955,0.697
"221","CHCHD10","hurdle",6.76157026181864e-51,-0.9397844,0.1960554,1.1358398,0.697
"55","ANGPTL4","hurdle",4.06103406260432e-60,-1.93430763,-0.07512527,1.85918236,0.697
"36","AEBP1","hurdle",1.1789552098412e-78,-1.8928447,-0.2406108,1.6522339,0.697
"1121","TIMP1","hurdle",1.93735776601755e-35,0.1376633,0.9898561,0.8521928,0.696
"1168","TUBA1A","hurdle",2.00372939370217e-37,-0.1666946,0.6975692,0.8642638,0.695
"1154","TPPP3","hurdle",6.61643703918638e-87,-2.7202296,-0.3247797,2.3954499,0.695
"1103","TBX2","hurdle",5.86830070301516e-103,-3.1722105,-0.5669253,2.6052852,0.695
"591","LAPTM4A","hurdle",1.000352759045e-32,0.2122574,0.8661382,0.6538808,0.695
"532","IGFBP4","hurdle",4.13571409128244e-46,0.0009201752,0.8666986547,0.8657784795,0.695
"1055","SORBS2","hurdle",1.27824301791119e-111,-1.9341376,0.2167285,2.1508661,0.694
"1018","SLC25A6","hurdle",3.34622613896996e-31,0.4329482,1.0073314,0.5743832,0.693
"703","MYH9","hurdle",3.30840425782572e-41,-0.5895793,0.4189728,1.0085521,0.693
"337","EFHD1","hurdle",4.088335171182e-39,-0.9742345,0.1494099,1.1236444,0.693
"383","FAM162B","hurdle",4.65232964805827e-98,-3.1683398,-0.6537213,2.5146185,0.692
"267","CRIP2","hurdle",5.59476758148084e-34,-0.07485732,0.74703798,0.8218953,0.692
"209","CDH6","hurdle",1.12146385278625e-104,-3.228288,-0.729018,2.49927,0.691
"129","C10orf10","hurdle",1.95129395551464e-58,-1.7724983,0.0554217,1.82792,0.691
"721","NDRG2","hurdle",7.21652276196094e-62,-1.9569212,-0.2746317,1.6822895,0.69
"436","GADD45B","hurdle",3.68380313480169e-37,0.3914767,1.177199,0.7857223,0.69
"256","COL6A1","hurdle",7.8162903480098e-79,-1.7024799,-0.1452311,1.5572488,0.69
"1016","SLC25A3","hurdle",1.60106080250857e-31,0.1792037,0.7706562,0.5914525,0.689
"823","PHLDA2","hurdle",5.49254965378062e-43,-1.1151491,0.2547749,1.369924,0.689
"566","KANK2","hurdle",3.75123032680592e-70,-2.5921666,-0.5677325,2.0244341,0.688
"1000","SERPINH1","hurdle",6.87091760710054e-43,-0.9977413,0.1565668,1.1543081,0.687
"269","CRTAP","hurdle",4.30185119455059e-41,-1.076018,0.10111,1.177128,0.687
"1190","VCL","hurdle",8.07743135231876e-61,-1.9560141,-0.2888749,1.6671392,0.686
"1207","YBX3","hurdle",8.39814420818518e-39,-0.9336385,0.2282791,1.1619176,0.685
"1153","TPM4","hurdle",2.43669995717183e-35,-0.1508495,0.6184079,0.7692574,0.685
"1056","SORBS3","hurdle",4.22458571989457e-51,-1.706856,-0.2332935,1.4735625,0.685
"684","MRVI1","hurdle",1.92227409410088e-78,-3.1166873,-0.8322349,2.2844524,0.685
"679","MRGPRF","hurdle",4.21608825705745e-100,-3.11094,-0.6588065,2.4521335,0.685
"260","COX7A1","hurdle",9.22998380466198e-59,-2.1212818,-0.4555707,1.6657111,0.685
"484","HCFC1R1","hurdle",4.32230488907356e-41,-0.8113031,0.2077225,1.0190256,0.684
"14","ACTN1","hurdle",2.19974826309763e-45,-0.9721151,0.1750093,1.1471244,0.684
"1169","TUBA1B","hurdle",2.23788435041824e-29,0.3608251,0.9698633,0.6090382,0.683
"63","ANXA6","hurdle",1.07817978432182e-47,-1.2987907,-0.04772774,1.25106296,0.683
"772","OLFML2B","hurdle",8.61823544204059e-73,-2.6688037,-0.4736984,2.1951053,0.681
"465","GPRC5C","hurdle",1.97094391422797e-75,-2.4157142,-0.4839142,1.9318,0.681
"216","CEBPD","hurdle",1.10699073715506e-36,-0.5094053,0.5336815,1.0430868,0.681
"765","NUDT4","hurdle",2.84678137860088e-46,-1.20201115,-0.01046134,1.19154981,0.68
"237","CNN1","hurdle",1.60259232725007e-73,-2.704931,-0.2780485,2.4268825,0.68
"1214","ZEB2","hurdle",1.56065593456862e-55,-1.9724427,-0.4116273,1.5608154,0.677
"73","ARHGAP10","hurdle",8.13576908467103e-60,-2.7076004,-0.7406225,1.9669779,0.677
"51","ANGPT2","hurdle",1.56319569096186e-56,-2.3959649,-0.5324146,1.8635503,0.677
"833","PKIG","hurdle",4.02236285232162e-54,-1.8045468,-0.3247071,1.4798397,0.673
"709","MYO1B","hurdle",7.70284200180115e-66,-2.2692697,-0.4372128,1.8320569,0.673
"232","CLMN","hurdle",4.55663615441719e-55,-2.0760243,-0.4735209,1.6025034,0.673
"64","AOC3","hurdle",4.55070274395219e-61,-2.7195599,-0.7147476,2.0048123,0.673
"800","PDGFA","hurdle",4.41210134648402e-81,-2.7867975,-0.6034904,2.1833071,0.672
"410","FHL5","hurdle",1.16259191696519e-94,-3.2855592,-0.8919325,2.3936267,0.672
"211","CDKN1A","hurdle",1.13260467969971e-28,-0.08051335,0.85331974,0.93383309,0.672
"104","ATP5B","hurdle",1.56318281259322e-31,-0.363602,0.3716926,0.7352946,0.671
"93","ARPC1A","hurdle",4.50747187833329e-37,-0.7451289,0.1777871,0.922916,0.671
"944","ROCK1","hurdle",1.23095746925167e-41,-1.18963218,-0.06783878,1.1217934,0.67
"807","PDLIM3","hurdle",1.11760046775518e-43,-1.7074912,-0.1968887,1.5106025,0.67
"251","COL3A1","hurdle",3.3696039377937e-64,-1.3935549,-0.0404655,1.3530894,0.67
"1052","SOCS3","hurdle",2.10584339581408e-29,-0.3248818,0.5679524,0.8928342,0.669
"782","PALLD","hurdle",2.46383472092962e-41,-1.465653,-0.129475,1.336178,0.669
"551","ITGA1","hurdle",3.9713837024982e-56,-2.442294,-0.61093,1.831364,0.669
"474","GSTP1","hurdle",1.13879263995334e-28,0.2042155,0.8397849,0.6355694,0.669
"174","CASQ2","hurdle",1.07238112337891e-102,-3.2752876,-0.7405901,2.5346975,0.669
"155","CABIN1","hurdle",2.85553276531629e-51,-2.3347832,-0.6082784,1.7265048,0.669
"1128","TLN1","hurdle",7.86803161530945e-40,-1.5255341,-0.2145294,1.3110047,0.668
"862","PPP1R12B","hurdle",2.2231218557034e-59,-2.5995356,-0.7195722,1.8799634,0.668
"423","FOXS1","hurdle",2.1596007892176e-80,-3.1645693,-0.8485899,2.3159794,0.668
"728","NEURL1B","hurdle",3.69155956008632e-67,-2.9158799,-0.8228579,2.093022,0.667
"143","C1R","hurdle",2.65385222970072e-51,-1.7866784,-0.1593281,1.6273503,0.667
"1113","TFPI","hurdle",3.68629502467447e-38,-1.6575426,-0.2770383,1.3805043,0.665
"701","MYC","hurdle",5.6012678996681e-31,-0.4849941,0.4871054,0.9720995,0.665
"188","CCDC3","hurdle",4.49638844345089e-61,-2.7441088,-0.7620727,1.9820361,0.665
"62","ANXA5","hurdle",7.16353105843189e-28,-0.5052485,0.287711,0.7929595,0.664
"1077","STEAP4","hurdle",6.19317163974447e-78,-2.7085087,-0.3255777,2.382931,0.663
"805","PDLIM1","hurdle",4.27774632205996e-36,-0.5255946,0.2920892,0.8176838,0.663
"1106","TCF4","hurdle",1.75045977893216e-42,-1.09840383,-0.08617369,1.01223014,0.662
"784","PARM1","hurdle",1.54131002074741e-72,-3.0652792,-0.8485444,2.2167348,0.662
"444","GEM","hurdle",2.58769519692415e-36,-1.5067894,-0.1224417,1.3843477,0.662
"1009","SH3BGRL","hurdle",1.14441396121029e-25,0.0750174,0.6820981,0.6070807,0.661
"1187","VASN","hurdle",1.23042990160672e-49,-2.312059,-0.6793266,1.6327324,0.66
"973","SBDS","hurdle",9.63660724844253e-33,-0.6785027,0.1435731,0.8220758,0.66
"808","PDLIM7","hurdle",3.55942444786049e-43,-1.9644288,-0.4972145,1.4672143,0.66
"369","ESD","hurdle",2.2850104305436e-35,-1.0333878,-0.07039871,0.96298909,0.66
"694","MTHFD2","hurdle",1.73991151571993e-35,-1.291216,-0.1441869,1.1470291,0.659
"552","ITGA7","hurdle",1.44057766022443e-90,-3.2415542,-0.9331752,2.308379,0.659
"4","ABCC9","hurdle",1.09475160639702e-78,-3.1482581,-0.8683401,2.279918,0.659
"570","KCNJ8","hurdle",2.54759917471549e-68,-3.0296137,-0.8281864,2.2014273,0.658
"82","ARHGEF17","hurdle",2.69738783444816e-65,-2.913776,-0.8969084,2.0168676,0.658
"20","ADAMTS4","hurdle",1.01764121005413e-50,-2.4495336,-0.5453121,1.9042215,0.658
"599","LGALS3BP","hurdle",1.72062074987699e-30,-0.7554888,0.1974045,0.9528933,0.657
"514","HSPB6","hurdle",1.96612995241229e-67,-2.8113303,-0.5027339,2.3085964,0.657
"1201","WFDC1","hurdle",3.87415674629992e-96,-3.2757949,-0.8373038,2.4384911,0.656
"279","CST3","hurdle",6.69214015548891e-36,0.7691593,1.3136491,0.5444898,0.656
"222","CHN1","hurdle",2.58041364518948e-59,-2.6317836,-0.7394056,1.892378,0.656
"77","ARHGAP29","hurdle",5.60276196067506e-30,-1.1931006,-0.1436244,1.0494762,0.656
"45","AKAP12","hurdle",8.43320674448577e-46,-2.424906,-0.7424522,1.6824538,0.656
"13","ACTG2","hurdle",2.47434543218238e-69,-2.745385,-0.446546,2.298839,0.656
