"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Plasmablasts","log2fold_change","Auc"
"210","PAPD7","hurdle",0.024948283437588,-2.883771,-2.344617,0.539154,0.511
"286","ZNF547","hurdle",0.00180422517077362,-3.201955,-2.664171,0.537784,0.51
"244","RP11-69E11.4","hurdle",0.00345143651104573,-3.145859,-2.547386,0.598473,0.508
"232","RNF133","hurdle",0.0119304272932718,-3.314748,-2.800247,0.514501,0.508
"177","IGLV5-48","hurdle",0.0119304272932661,-3.321928,-2.741245,0.580683,0.508
"172","IGLV3-10","hurdle",9.80476991702669e-09,-3.047233,-1.725176,1.322057,0.508
"164","IGLV1-50","hurdle",0.0119304272932637,-3.321928,-2.700984,0.620944,0.508
"160","IGLV1-40","hurdle",0.0209691214647541,-3.295337,-2.097169,1.198168,0.508
"147","IGKV2D-30","hurdle",0.0119304272932706,-3.321928,-2.592841,0.729087,0.508
"142","IGKV2-26","hurdle",0.0119304272932637,-3.321928,-2.672307,0.649621,0.508
"115","IGHV3-49","hurdle",0.0424536559831331,-3.296844,-2.244049,1.052795,0.508
"240","RP11-545M17.1","hurdle",0.0197875648613709,-3.30167,-2.800247,0.501423,0.507
"16","AP000866.1","hurdle",0.0304578232249352,-3.292683,-2.769078,0.523605,0.507
"5","AC025811.3","hurdle",0.00240028974240617,-3.298601,-2.663192,0.635409,0.507
"2","AC006129.1","hurdle",0.0225631932516273,-3.302315,-2.800247,0.502068,0.507
"163","IGLV1-47","hurdle",0.0405947677484304,-3.276758,-2.728541,0.548217,0.506
"83","HIST1H3H","hurdle",0.0243664223392227,-2.906166,-2.397723,0.508443,0.506
"74","GABRB2","hurdle",0.001681522154726,-3.261493,-2.663192,0.598301,0.506
"238","RP11-350N15.5","hurdle",0.0268344405205863,-2.979117,-2.432502,0.546615,0.504
"79","HIF3A","hurdle",0.000114610907357034,-3.16798,-2.663192,0.504788,0.502
"24","C8orf44","hurdle",0.00688732726605032,-3.019589,-2.411696,0.607893,0.501
